支付宝交易记录明细查询
账号:[demo@example.com]
起始日期:[2026-04-01 00:00:00]    终止日期:[2026-09-01 23:59:59]
----------------------交易记录明细列表--------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注
2026-04-01 08:40:55,日用百货,沃尔玛,,超市购物,支出,49.03,账户余额,交易成功,2026040100000000,,
2026-04-01 09:32:24,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,22.62,账户余额,交易成功,2026040100000001,,
2026-04-01 18:58:57,餐饮美食,学校食堂,,就餐,支出,13.63,招商银行(1234),交易成功,2026040100000002,,
2026-04-01 23:46:43,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,24.12,招商银行(1234),交易成功,2026040100000003,,
2026-04-02 21:44:29,日用百货,京东商城,,数码配件,支出,281.01,花呗,交易成功,2026040200000004,,
2026-04-03 07:56:26,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,17.61,账户余额,交易成功,2026040300000005,,
2026-04-03 11:01:56,餐饮美食,美团外卖,,午餐订单,支出,23.29,招商银行(1234),交易成功,2026040300000006,,
2026-04-03 20:37:20,交通出行,深圳地铁,,乘车码,支出,3.59,花呗,交易成功,2026040300000007,,
2026-04-04 07:12:02,数码电器,嘉立创,,PCB打样+元器件,支出,237.97,账户余额,交易成功,2026040400000008,,
2026-04-04 12:46:06,交通出行,深圳地铁,,乘车码,支出,7.36,余额宝,交易成功,2026040400000009,,
2026-04-04 13:21:52,交通出行,深圳地铁,,乘车码,支出,11.73,花呗,交易成功,2026040400000010,,
2026-04-04 14:07:32,交通出行,哈啰单车,,骑行,支出,2.46,账户余额,交易成功,2026040400000011,,
2026-04-04 22:00:48,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,27.03,账户余额,交易成功,2026040400000012,,
2026-04-04 23:07:55,交通出行,深圳地铁,,乘车码,支出,8.30,账户余额,交易成功,2026040400000013,,
2026-04-05 17:13:39,交通出行,深圳地铁,,乘车码,支出,9.85,花呗,交易成功,2026040500000014,,
2026-04-06 08:05:17,餐饮美食,学校食堂,,就餐,支出,19.77,余额宝,交易成功,2026040600000015,,
2026-04-06 14:27:05,交通出行,深圳地铁,,乘车码,支出,3.99,花呗,交易成功,2026040600000016,,
2026-04-06 17:45:43,餐饮美食,学校食堂,,就餐,支出,18.75,余额宝,交易成功,2026040600000017,,
2026-04-06 19:57:36,服饰装扮,优衣库,,服饰,支出,325.32,花呗,交易成功,2026040600000018,,
2026-04-07 08:44:00,日用百货,拼多多,,日用品,支出,81.62,余额宝,交易成功,2026040700000019,,
2026-04-07 09:45:16,交通出行,深圳地铁,,乘车码,支出,5.80,余额宝,交易成功,2026040700000020,,
