微信支付账单明细
微信昵称：[演示账号]
起始日期：[2026-04-01] 终止日期：[2026-09-01]
导出类型：[全部]
----------------------微信支付账单明细列表--------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-04-01 08:40:55,商户消费,沃尔玛,/超市购物,支出,¥49.03,零钱,支付成功,4200000000000000,/,,
2026-04-01 09:32:24,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥22.62,零钱,支付成功,4200000000010000,/,,
2026-04-01 23:46:43,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥24.12,零钱,支付成功,4200000000020000,/,,
2026-04-03 11:01:56,商户消费,美团外卖,/午餐订单,支出,¥23.29,零钱,支付成功,4200000000030000,/,,
2026-04-04 22:00:48,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥27.03,零钱,支付成功,4200000000040000,/,,
2026-04-05 17:13:39,商户消费,深圳地铁,/乘车码,支出,¥9.85,零钱,支付成功,4200000000050000,/,,
2026-04-06 08:05:17,商户消费,学校食堂,/就餐,支出,¥19.77,零钱,支付成功,4200000000060000,/,,
2026-04-06 14:27:05,商户消费,深圳地铁,/乘车码,支出,¥3.99,零钱,支付成功,4200000000070000,/,,
2026-04-07 13:34:42,商户消费,深圳地铁,/乘车码,支出,¥5.18,零钱,支付成功,4200000000080000,/,,
2026-04-07 14:16:48,商户消费,沙县小吃,/拌面蒸饺,支出,¥19.38,零钱,支付成功,4200000000090000,/,,
2026-04-07 22:56:40,商户消费,当当网,/图书,支出,¥40.73,零钱,支付成功,4200000000100000,/,,
2026-04-08 14:41:07,商户消费,拼多多,/日用品,支出,¥59.42,零钱,支付成功,4200000000110000,/,,
2026-04-09 18:24:13,商户消费,学校食堂,/就餐,支出,¥15.14,零钱,支付成功,4200000000120000,/,,
2026-04-10 12:53:59,商户消费,妈妈,/生活费,收入,¥1686.94,零钱,支付成功,4200000000130000,/,,
2026-04-12 07:58:34,商户消费,深圳地铁,/乘车码,支出,¥11.62,零钱,支付成功,4200000000140000,/,,
